From	To	Species	Gene Name
ENSCGRG00001018393	100767767	Cricetulus griseus	metallo-beta-lactamase domain containing 2(Mblac2)
ENSCGRG00001017062	100770447	Cricetulus griseus	tubulin folding cofactor B(Tbcb)
ENSCGRG00001018390	100759155	Cricetulus griseus	protein geranylgeranyltransferase type I subunit beta(Pggt1b)
ENSCGRG00001017061	100751868	Cricetulus griseus	alpha tocopherol transfer protein(Ttpa)
ENSCGRG00001018391	100753400	Cricetulus griseus	SH3 domain containing GRB2 like, endophilin B2(Sh3glb2)
ENSCGRG00001017060	100756731	Cricetulus griseus	lysine methyltransferase 2E (inactive)(Kmt2e)
ENSCGRG00001017067	100764339	Cricetulus griseus	HEAT repeat containing 5A(Heatr5a)
ENSCGRG00001017066	100756003	Cricetulus griseus	Rap1 GTPase-GDP dissociation stimulator 1(Rap1gds1)
ENSCGRG00001018399	100769638	Cricetulus griseus	LSM family member 14B(Lsm14b)
ENSCGRG00001005074	100754819	Cricetulus griseus	FUN14 domain containing 2(Fundc2)
ENSCGRG00001005078	113837268	Cricetulus griseus	cytochrome c oxidase subunit 6B2(LOC113837268)
ENSCGRG00001005076	100769225	Cricetulus griseus	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta(Pik3cd)
ENSCGRG00001017073	100759646	Cricetulus griseus	leucine rich repeat and fibronectin type III domain containing 4(Lrfn4)
ENSCGRG00001017076	100756306	Cricetulus griseus	heterogeneous nuclear ribonucleoprotein U like 2(Hnrnpul2)
ENSCGRG00001017070	100754902	Cricetulus griseus	ubiquitin-like modifier-activating enzyme ATG7(LOC100754902)
ENSCGRG00001017071	100760100	Cricetulus griseus	developing brain homeobox 1(Dbx1)
ENSCGRG00001017078	100756850	Cricetulus griseus	trafficking kinesin protein 2(Trak2)
ENSCGRG00001017079	100762299	Cricetulus griseus	myoglobin(Mb)
ENSCGRG00001005061	100751441	Cricetulus griseus	microtubule associated protein RP/EB family member 1(Mapre1)
ENSCGRG00001014803	100770376	Cricetulus griseus	DEAD-box helicase 54(Ddx54)
