NCBI GeneID	Symbol	Description
100689048	Scap	SREBF chaperone
100770898	Nsf	N-ethylmaleimide sensitive factor, vesicle fusing ATPase
100682536	Abcb1	ATP binding cassette subfamily B member 1
100689028	Dhfr	dihydrofolate reductase
100689272	Ercc2	ERCC excision repair 2, TFIIH core complex helicase subunit
100689091	Tubb	tubulin beta class I
100736554	Pea15	proliferation and apoptosis adaptor protein 15
100758826	Sar1b	secretion associated Ras related GTPase 1B
100689015	Pex5	peroxisomal biogenesis factor 5
100689078	Rad51c	RAD51 paralog C
100689305	Hspa5	heat shock protein family A (Hsp70) member 5
100756363	Hmgcr	3-hydroxy-3-methylglutaryl-CoA reductase
100682525	Tp53	tumor protein p53
100682529	Mgat1	alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase
100689045	Rpsa	ribosomal protein SA
100689051	Eef2	eukaryotic translation elongation factor 2
100689023	Slc20a2	solute carrier family 20 member 2
100689173	Hs6st1	heparan sulfate 6-O-sulfotransferase 1
100689268	Ubb	ubiquitin B
100689021	Cbr3	carbonyl reductase 3
100689309	Kif2c	kinesin family member 2C
100689478	Mt1	metallothionein 1
102466467	Mir7a	microRNA mir-7a
100689479	Mt2	metallothionein 2
100689016	Polr2a	RNA polymerase II subunit A
100689017	Srebf2	sterol regulatory element binding transcription factor 2
100689054	Dpagt1	dolichyl-phosphate N-acetylglucosaminephosphotransferase 1
100689061	Casp3	caspase 3
100689064	Ldha	lactate dehydrogenase A
100689100	Cxcl3	chemokine (C-X-C motif) ligand 3
100689276	Eef1a1	eukaryotic translation elongation factor 1 alpha 1
100689292	Rps14	ribosomal protein S14
100689318	Akr1b8	aldo-keto reductase family 1, member B8
100689414	Xrcc1	X-ray repair cross complementing 1
100689424	Npc1	NPC intracellular cholesterol transporter 1
100689448	Ptdss2	phosphatidylserine synthase 2
100689463	Parp1	poly(ADP-ribose) polymerase 1
100736555	Smu1	SMU1 DNA replication regulator and spliceosomal factor
100762792	Prnp	prion protein
100766627	Kars1	lysyl-tRNA synthetase 1
100689049	Mpdu1	mannose-P-dolichol utilization defect 1
100689417	Mbtps1	membrane bound transcription factor peptidase, site 1
100768664	Bdnf	brain derived neurotrophic factor
100689277	Ap3m1	adaptor related protein complex 3 subunit mu 1
100684971	Adam17	ADAM metallopeptidase domain 17
100689093	Pisd	phosphatidylserine decarboxylase
100689325	Ugp2	UDP-glucose pyrophosphorylase 2
100689399	Ldlr	low density lipoprotein receptor
100689462	Hsph1	heat shock protein family H (Hsp110) member 1
100689047	Pex2	peroxisomal biogenesis factor 2
100761880	Notch1	notch receptor 1
100682530	Plec	plectin
100689099	Vim	vimentin
100689222	App	amyloid beta precursor protein
100689326	Sptlc1	serine palmitoyltransferase long chain base subunit 1
100689472	Hspa8	heat shock protein family A (Hsp70) member 8
100757429	Fgf2	fibroblast growth factor 2
100689388	Ilk	integrin linked kinase
100766256	Atr	ATR serine/threonine kinase
102466539	Mir23a	microRNA mir-23a
100689026	Ubtf	upstream binding transcription factor
100689056	Ncl	nucleolin
100689188	Slc38a2	solute carrier family 38 member 2
100689395	Tfrc	transferrin receptor
100689449	Pgs1	phosphatidylglycerophosphate synthase 1
100736557	Gapdh	glyceraldehyde-3-phosphate dehydrogenase
100769796	Pex14	peroxisomal biogenesis factor 14
3979179	ND4	NADH dehydrogenase subunit 4
3979180	ND5	NADH dehydrogenase subunit 5
3979181	ND6	NADH dehydrogenase subunit 6
3979182	CYTB	cytochrome b
3979183	ND1	NADH dehydrogenase subunit 1
3979184	ND2	NADH dehydrogenase subunit 2
3979185	COX1	cytochrome c oxidase subunit I
3979186	COX2	cytochrome c oxidase subunit II
3979187	ATP8	ATP synthase F0 subunit 8
3979189	COX3	cytochrome c oxidase subunit III
3979190	ND3	NADH dehydrogenase subunit 3
100689258	Mir21	microRNA mir-21
100682537	Abcb1b	ATP-binding cassette, sub-family B (MDR/TAP), member 1B
100689398	Impdh2	inosine monophosphate dehydrogenase 2
100689421	Gbf1	golgi brefeldin A resistant guanine nucleotide exchange factor 1
100682531	Kif23	kinesin family member 23
100682532	Manea	mannosidase endo-alpha
100689041	Hspg2	heparan sulfate proteoglycan 2
