Reaction,Min,Max
13DAMPPOX,0.0,1000.0
2AMACHYD,0.0,1000.0
2AMACSULT,0.0,1000.0
3SALATAi,0.0,1000.0
3SALATAim,0.0,1000.0
3SPYRSP,0.0,1000.0
3SPYRSPm,0.0,1000.0
4HGLSDm,-1000.0,1000.0
AACTOOR,0.0,1000.0
ABTArm,-1000.0,1000.0
ABUTD,0.0,1000.0
ABUTDm,0.0,1000.0
ADMDC,0.0,1000.0
AGMTm,0.0,1000.0
AGTim,0.0,1000.0
AGTix,0.0,1000.0
AHC,0.0,1000.0
ALASm,0.0,1000.0
ALATA_L,-1000.0,1000.0
ALR,0.0,1000.0
AOBUTDsm,0.0,1000.0
APAT2rm,-1000.0,1000.0
APRTO2,0.0,0.0
ARD,0.0,1000.0
ARD1,0.0,0.0
ARGDCm,0.0,1000.0
ARGSL,0.0,1000.0
ARGSS,0.0,1000.0
ARMT,0.0,0.0
ASNN,0.0,1000.0
ASNNm,0.0,1000.0
ASNS1,0.0,1000.0
ASP1DC,0.0,1000.0
ASPNATm,0.0,1000.0
ASPO2,0.0,0.0
ASPOX,0.0,1000.0
ASPTA,-1000.0,1000.0
ASPTAm,-1000.0,1000.0
BAMPPALDOX,0.0,1000.0
BAMPPALDOXm,0.0,0.0
BETALDHx,-1000.0,1000.0
BETALDHxm,0.0,1000.0
BHMT,0.0,1000.0
CARNS1,0.0,1000.0
CBPSam,0.0,1000.0
CHOLD2m,0.0,1000.0
CYSGLTH,-1000.0,1000.0
CYSLYSL,0.0,0.0
CYSTA,0.0,1000.0
CYSTAm,0.0,0.0
CYSTGL,0.0,1000.0
CYSTS,0.0,1000.0
DARGOp,0.0,0.0
DASPO1p,0.0,1000.0
DDPGAm,0.0,1000.0
DKMPPD2,0.0,0.0
DMGDHm,0.0,1000.0
DNAMTn,0.0,0.0
DORNOp,0.0,0.0
DPROOp,0.0,0.0
EHGLAT,0.0,0.0
EHGLAT2m,0.0,1000.0
EHGLATm,0.0,1000.0
ENOPH,0.0,1000.0
G5SADr,-1000.0,1000.0
GAUGE-R00270,-1000.0,1000.0
GAUGE-R00557,-1000.0,1000.0
GAUGE-R00558,-1000.0,1000.0
GAUGE-R00648,-1000.0,1000.0
GAUGE-R02285,-1000.0,1000.0
GAUGE-R04283,-1000.0,1000.0
GAUGE-R07364,-1000.0,1000.0
GAUGE-R07396,-1000.0,1000.0
GAUGE-R10107,-1000.0,1000.0
GCC2am,0.0,1000.0
GCC2bim,0.0,1000.0
GCCam,0.0,1000.0
GCCbim,0.0,1000.0
GCCcm,0.0,1000.0
GHMT2r,-1000.0,1000.0
GHMT2rm,-1000.0,1000.0
GLNS,0.0,1000.0
GLUDC,0.0,1000.0
GLUDxm,-1000.0,1000.0
GLUDym,-1000.0,1000.0
GLUN,0.0,1000.0
GLUNm,0.0,1000.0
GLYATm,-1000.0,1000.0
GLYCLm,-1000.0,1000.0
GLYOp,0.0,1000.0
GNMT,0.0,1000.0
GTHO,0.0,1000.0
GTHOm,0.0,1000.0
GapFill-R04444,-1000.0,1000.0
GapFill-R04445,-1000.0,1000.0
GapFill-R10466,0.0,0.0
GluForTx,0.0,1000.0
HEXGLYc,0.0,0.0
HISD,0.0,1000.0
HISDC,0.0,1000.0
HISTASE,0.0,0.0
HMR_3831,0.0,1000.0
HMR_3915,0.0,1000.0
HMR_4072,0.0,0.0
HMR_4079,0.0,1000.0
HMR_4422,0.0,1000.0
HMR_4696,0.0,1000.0
HMR_4700,-1000.0,1000.0
HMR_4701,0.0,1000.0
HMR_4776,0.0,1000.0
HMR_4777,0.0,1000.0
HMR_5336,0.0,0.0
HMR_5388,0.0,0.0
HMR_6515,0.0,1000.0
HMR_6929,0.0,1000.0
HMR_6939,0.0,0.0
HMR_7703,0.0,1000.0
HMR_8608,0.0,0.0
HPROxm,-1000.0,1000.0
HPROym,-1000.0,1000.0
HSK,0.0,1000.0
HYPTROXe,0.0,1000.0
IMACTD,0.0,0.0
IMACTD_m,0.0,0.0
IZPN,0.0,1000.0
LCYSTAT,0.0,1000.0
LCYSTATm,0.0,0.0
MACOXO,0.0,1000.0
MCLACCYSR,0.0,1000.0
MCLOR,-1000.0,0.0
MCPST,0.0,1000.0
MDRPD,0.0,1000.0
METAT,0.0,1000.0
METOX,0.0,1000.0
METS,0.0,1000.0
MHISOR,0.0,1000.0
MTAP,0.0,1000.0
MTRI,0.0,1000.0
NABTNO,0.0,0.0
NABTNOm,0.0,0.0
NACASPAH,0.0,1000.0
NBAHH_ir,0.0,1000.0
NOS1,0.0,1000.0
NOS2,0.0,1000.0
OBDHc,0.0,1000.0
P5CDm,0.0,1000.0
P5CR,0.0,1000.0
P5CRm,0.0,1000.0
P5CRxm,0.0,1000.0
PGCD,0.0,1000.0
PHCDm,0.0,1000.0
PHCHGSm,-1000.0,1000.0
PPIOGLYc,0.0,0.0
PRO1x,0.0,1000.0
PRO1xm,0.0,1000.0
PROAKGOX1r,0.0,0.0
PROD2,0.0,1000.0
PROD2m,0.0,1000.0
PRPNCOAHYDm,0.0,1000.0
PRPNCOAHYDx,0.0,0.0
PSERT,0.0,1000.0
PSP_L,0.0,1000.0
PTRCAT1,0.0,0.0
PTRCOX1,0.0,1000.0
RE1234C,0.0,1000.0
RE1473C,-1000.0,1000.0
RE1933C,0.0,0.0
RE2030M,0.0,0.0
RE2031M,0.0,0.0
RE2081C,0.0,0.0
RE2111M,0.0,0.0
RE2117M,0.0,0.0
RE2156M,0.0,0.0
RE2223M,0.0,0.0
RE2640C,0.0,0.0
RE2642C,0.0,0.0
RE3009C,0.0,1000.0
RE3629C,0.0,0.0
RE3631C,0.0,0.0
RE3633C,0.0,0.0
SAMHISTA,0.0,1000.0
SARCOXp,0.0,1000.0
SAT1,0.0,1000.0
SERHL,0.0,1000.0
SERR,-1000.0,1000.0
SFCYSc,-1000.0,1000.0
SLDt,0.0,1000.0
SLDx,-1000.0,0.0
SLDxm,0.0,0.0
SMOX,0.0,1000.0
SPMDOX,0.0,1000.0
SPTix,0.0,1000.0
SSALxm,-1000.0,1000.0
SUBGLYc,0.0,1000.0
SULFOX,0.0,1000.0
THDm,0.0,1000.0
THRA,0.0,1000.0
THRD_L,0.0,1000.0
THRS,0.0,1000.0
TIGGLYc,0.0,0.0
UNK2,0.0,1000.0
UNK3,0.0,1000.0
URCN,0.0,1000.0
r0001,0.0,0.0
r0027,-1000.0,1000.0
r0142,0.0,1000.0
r0145,0.0,1000.0
r0160,0.0,1000.0
r0464,-1000.0,0.0
r0553,-1000.0,1000.0
r0615,-1000.0,1000.0
r0617,-1000.0,1000.0
r0686,-1000.0,1000.0
5DGLCNR,-1000.0,1000.0
ABTD,-1000.0,1000.0
ACGSm,0.0,1000.0
ACITL,0.0,1000.0
ACNAO,0.0,0.0
ACODA,0.0,1000.0
ACONT,-1000.0,1000.0
ACONTa,-1000.0,1000.0
ACONTam,-1000.0,1000.0
ACONTb,-1000.0,1000.0
ACONTbm,-1000.0,1000.0
ACONTm,-1000.0,1000.0
ACS,0.0,1000.0
ACSm,0.0,1000.0
ACYP,0.0,1000.0
AGPRim,0.0,0.0
AKGDm,0.0,1000.0
ALCD2if,0.0,1000.0
ALCD2yf,0.0,1000.0
ALDD2x,0.0,1000.0
ALDD2xm,0.0,1000.0
ALDD2y,0.0,1000.0
ARABR,0.0,1000.0
ARGN,0.0,1000.0
ARGNm,0.0,1000.0
ATPM,0.0,1000.0
ATPS4m,0.0,1000.0
Adpgk,0.0,1000.0
BPGP,0.0,1000.0
BiGGRxn39,-1000.0,1000.0
CAT2p,0.0,1000.0
CBPPer,0.0,1000.0
CITL,0.0,1000.0
CK,0.0,1000.0
CKc,-1000.0,1000.0
CREATtmdiffir,0.0,1000.0
CRTNsyn,0.0,1000.0
CSm,0.0,1000.0
CTPCNCT,0.0,0.0
CYOOm2,0.0,1000.0
CYOOm3,0.0,1000.0
CYOR_u10m,0.0,1000.0
DGULND,0.0,1000.0
DNAsyn,0.0,19.59898101733914
DNAsyn_prod,0.0,15.929619836341082
DPGM,0.0,1000.0
DPGase,0.0,1000.0
DRBK,0.0,1000.0
DRPA,0.0,1000.0
ENO,-1000.0,1000.0
ETOHMO,0.0,1000.0
FADH2ETC,0.0,1000.0
FBA,-1000.0,1000.0
FBA4,0.0,1000.0
FBP,0.0,1000.0
FUM,-1000.0,1000.0
FUMm,-1000.0,1000.0
G3PD2m,0.0,1000.0
G5SDym,0.0,1000.0
G6PDH1rer,-1000.0,1000.0
G6PDH2r,0.0,333.3333333333333
G6PDH2rer,-1000.0,1000.0
G6PPer,0.0,1000.0
GACMTRc,-1000.0,1000.0
GALM2,-1000.0,1000.0
GAPD,-1000.0,1000.0
GAUGE-R10221,-1000.0,1000.0
GCALDD,0.0,1000.0
GCALDDm,0.0,1000.0
GDPGPH,0.0,0.0
GLU5Km,0.0,1000.0
GLXO1,0.0,1000.0
GLXO2p,0.0,1000.0
GLYAMDTR,0.0,0.0
GLYAMDTRc,-1000.0,1000.0
GLYC3PFADm,0.0,1000.0
GLYCK2,0.0,1000.0
GLYCLTDy,0.0,1000.0
GLYCLTDym,0.0,1000.0
GLYCTO1p,0.0,1000.0
GLYPHEHYc,0.0,1000.0
GND,0.0,1000.0
GNDer,0.0,1000.0
GULN3D,0.0,1000.0
GULNDer,-1000.0,1000.0
GUR1PP,0.0,1000.0
GapFill-R01738,-1000.0,1000.0
GapFill-R01895,0.0,1000.0
HCO3E,-1000.0,1000.0
HCO3Ee,-1000.0,1000.0
HCO3Em,-1000.0,1000.0
HEX1,0.0,1000.0
HMR_4592,-1000.0,1000.0
HMR_7745,-1000.0,0.0
HMR_7746,0.0,1000.0
HMR_7747,0.0,1000.0
HMR_7748,-1000.0,1000.0
HMR_7749,-1000.0,1000.0
HMR_9799,0.0,0.0
HMR_9800,0.0,0.0
HPI,0.0,0.0
HPYRDC,0.0,1000.0
HPYRDCm,0.0,1000.0
HPYRR2x,0.0,1000.0
HPYRRx,0.0,1000.0
HPYRRy,0.0,1000.0
ICDHxm,0.0,1000.0
ICDHy,0.0,1000.0
ICDHyp,0.0,1000.0
ICDHyr,-1000.0,1000.0
ICDHyrm,-1000.0,1000.0
KHK2,0.0,1000.0
LDH_L,-1000.0,1000.0
MDH,-1000.0,1000.0
MDHm,-1000.0,1000.0
MDHx,-1000.0,0.0
NADH2_u10m,0.0,1000.0
NOX,-1000.0,1000.0
OCBTm,0.0,1000.0
ORNDC,0.0,1000.0
ORNTArm,-1000.0,1000.0
P5CRx,0.0,1000.0
PCREATtmdiffir,0.0,1000.0
PDHm,0.0,1000.0
PEPCK,0.0,1000.0
PEPCKm,0.0,1000.0
PFK,0.0,1000.0
PGI,-1000.0,1000.0
PGK,-1000.0,1000.0
PGL,0.0,1000.0
PGLYCP,0.0,0.0
PGLer,0.0,1000.0
PGM,-1000.0,1000.0
PGMT,-1000.0,1000.0
PPA,0.0,1000.0
PPAm,0.0,1000.0
PPM,-1000.0,1000.0
LipidSyn,0.0,40.12757827266004
LipidSyn_prod,0.0,34.25304536849812
PROTsyn,0.0,1000.0
PROTsyn_prod,0.0,1000.0
PRPPS,-1000.0,1000.0
PRSDO,0.0,1000.0
PYK,0.0,1000.0
RBK,0.0,1000.0
RBK_D,0.0,1000.0
RBT5PDH,-1000.0,0.0
RE0124C,0.0,1000.0
RE0688C,0.0,1000.0
RE0688E,0.0,1000.0
RE0688X,0.0,500.0
RE0689C,0.0,1000.0
RE0689E,0.0,1000.0
RE0689X,0.0,0.0
RE0690C,0.0,1000.0
RE0690E,0.0,1000.0
RE0690X,0.0,0.0
RE0827C,0.0,1000.0
RE0827E,0.0,1000.0
RE0827X,0.0,500.0
RE0828C,0.0,1000.0
RE0828E,0.0,1000.0
RE0828X,0.0,0.0
RE1235C,0.0,0.0
RE1236C,0.0,0.0
RE1238X,0.0,0.0
RE1537X,0.0,0.0
RE1538X,0.0,0.0
RE1539X,0.0,0.0
RE1897C,-1000.0,1000.0
RE1899C,-1000.0,1000.0
RE2032M,0.0,0.0
RE2034C,0.0,0.0
RE2040C,0.0,0.0
RE2041C,0.0,0.0
RE2333C,0.0,0.0
RE2334C,0.0,0.0
RE2335C,0.0,0.0
RE2644C,0.0,0.0
RE3367C,0.0,1000.0
RE3367E,0.0,1000.0
RE3367X,0.0,0.0
RNAsyn,0.0,205.44005259265344
RNAsyn_prod,0.0,189.68349412170852
RPE,-1000.0,1000.0
RPI,-1000.0,1000.0
SARDHm,0.0,1000.0
SPMS,-1000.0,1000.0
SPRMS,0.0,1000.0
SQOR2m,0.0,1000.0
SQORm,0.0,1000.0
SUCD1m,-1000.0,1000.0
SUCOAS1m,-1000.0,1000.0
SUCOASm,-1000.0,1000.0
TALA,-1000.0,1000.0
TKT1,-500.0,1000.0
TKT2,-500.0,1000.0
TPI,-1000.0,1000.0
TSCTS,-1000.0,0.0
UDPG1P,0.0,1000.0
UDPGNP,0.0,1000.0
UREAtm,-1000.0,0.0
XYLK,0.0,1000.0
XYLOR,0.0,1000.0
XYLR,0.0,1000.0
XYLTD_Dr,0.0,1000.0
XYLUR,-1000.0,1000.0
biomass_cho,0.0,205.44005259265344
